iter	change	score	acc	tok	spread	decision	note
0	baseline: word2 lexical router, no-rt, same-denominator	70.8166	71.88	2135	0.402	baseline	oracle_no_rt=78.804 ceiling
1	hierarchical backoff word3>word2>word1	71.3239	72.33	2010	0.541	keep	fallback 23.6%->3.4%; beats factory on BOTH acc and tok
2	semantic features (wh/agg/len/skel/w2agg) + chains	71.5951	72.58	1977	0.513	keep	best=word3>word2>wh; fallback 0.2%; gain within seed spread -> need paired test
2b	paired test @20 seeds confirms iter1+2	71.5575	72.55	1990	1.129	confirm	vs word2 t=16.24 20/20; vs iter1 t=8.62 20/20
3-6	sweep: min_sup x slack x folds x chain depth	71.6477	72.62	1941	NA	partial	only slack=0.02 helps (+0.090 t=2.68 13/20); min_sup=10 already optimal; chains exhausted
7	diagnose: in-sample bucket ceiling vs heldout	NA	NA	NA	NA	diagnostic	skel in-sample 77.59 vs heldout 71.65 -> bottleneck is statistical (2820 buckets/4633 rows), not features; cascade dead (is_abstention 0/4482)
8	hierarchical shrinkage (empirical Bayes)	71.7760	72.73	1915	NA	weak-keep	only deepest chain k=5 helps (+0.128 t=2.58 15/20); 16/20 configs WORSE -> shrinkage hypothesis largely refuted
9	per-store online adaptation (prequential, bandit-honest)	71.9083	72.86	1910	NA	keep	+0.2606 t=5.07 17/20; pure-store signal NEGATIVE, only complements text routing
10-12	combine text chain + per-store	72.0384	72.96	1846	NA	keep	word3>word2>wh + k=10 best; +0.391 vs text-only t=6.74 19/20
13-15	per-bench robustness + cold-start profile	71.9859	72.91	1852	0.738	final	integrated into armdom.py; 9/15 benches win on score; NOT universal
pkg	standalone armdom package (core/features/ingest/audit/cli)	71.9859	72.91	1852	NA	ship	verified bit-identical to scripts/armdom.py on QVF data; 2 bugs found+fixed during extraction (q/question field mismatch collapsed all buckets; silent dup-qid merge dropped 340 rows)
wire	wire lexical router into qvf_router.py (QVF_ROUTER_LEXICAL flag)	NA	NA	NA	NA	correction	END-TO-END WIRING INVALIDATED THE +0.67pp CLAIM: armdom counted unrun arms as fallback-to-cheaper (72.82%), production harness counts them as WRONG (70.29%); 5.2% of rows hit this. Token saving robust (-45.5%~-46.5%), accuracy NOT established (-1.95pp~+0.58pp). armdom fallback_rate only counted bucket misses, not arm-unavailability -> fixed, now reports arm_unavailable_rate.
