round	hypothesis_id	change_summary	n_subset	exact_match_rate	value_precision	value_recall	value_f1	decision	reason
0	baseline_v42	冻结基线(旗标全关，KEYS=1+STRICT=1，与 v42 建卡口径一致)；对拍确认 QVF_CARD_V5=0 时 8 种 KEYS/TAGS/STRICT 组合下 _catalog_prompt() 逐字节不变	30	0.1333	0.8738	0.7627	0.8145	基线	诊断子集刻意过采样失败样本(全体验证集76.9%exact match)，本子集仅为轮间相对比较基准，非代表性抽样
1	H1_slot_class_precision	QVF_CARD_V5=1,VARIANT=h1：追加一条 SLOT_CLASS PRECISION 规则——交流项目/游学/短期课程等以教育为主的安排不归 slot_class=employer，改归 other:<noun>；不触碰 source_span/覆盖/抽取逻辑	30	0.4333	0.9231	0.7119	0.8038	保留	精确匹配 4→13(+9/30)；失败分解 wrong_value_or_order 5→0，extra_value 10→3(Roppongi/TechCorp/Berkeley 类噪声值经 slot_class 改判被过滤)；逐 uid 核对仅 1 例回归(wikiP108014-Q56648183 correct→zero_cards)，根因是该次生成把 employer 判成相邻枚举值 position(与本假设无关的生成方差，非本轮改动引入)；值级精确率 0.8738→0.9231 同步提升，值级召回 0.7627→0.7119 因 zero_cards 略增而降(净值仍正)；已知陷阱对照：本轮未见"收紧噪声必丢真值"式大幅召回崩塌
2	H2_explicit_employer_evidence_bar	QVF_CARD_V5=1,VARIANT=h2：任务纪律要求的组合式改动(正向白名单而非负向黑名单)——仅对 slot_class=employer/position 追加"必须含显式自证雇佣语言(I'm a/an X at Y / I work at Y / I've started/joined Y)"证据门槛；其余槽位覆盖规则不变	30	0.6333	0.9	0.9153	0.9076	保留(本轮最佳)	精确匹配 4→19(+15/30)，头对头显著优于 H1(13/30)；失败分解 wrong_value_or_order 5→0、zero_cards 4→1、missing_value 7→2、extra_value 10→8；逐 uid 核对**零回归**——4 例原 correct 全部保持 correct，H1 出现的 1 例回归本轮未见；值级精确率 0.8738→0.9，值级召回 0.7627→0.9153 同步大幅提升(非精确率-召回率对价关系，双升)；已知陷阱对照：显式证据门槛作用于极窄范围(仅 employer/position 两槽)，未见"收紧噪声丢真值"迹象
3	H1_plus_H2_combined	QVF_CARD_V5=1,VARIANT=h1h2：H1(slot_class 教育项目精修)+H2(employer/position 显式证据门槛)叠加	30	0.4333	0.8879	0.8051	0.8444	回滚(证据后被下修为存疑)	精确匹配 13/30，与单独 H1 打平，显著低于单独 H2(19/30)。注：轮4发现同一诊断子集在旗标全关时重跑也有 ±20pp 级生成方差(见轮4b)，故本轮"叠加负交互"的因果归因证据强度不足——不排除纯生成噪声；已回滚，未来若重跑本假设应先配对旗标关对照
4	4a_val	QVF_CARD_V5=1,VARIANT=h2（代表性验证集，独立于调参子集）	25	0.88	0.9886	0.9775	0.9831	需与下一行配对解读	全新抽取的 25-uid 代表性子集(未过采样失败样本，接近全体验证集的自然分布)；与陈旧的 v42 静态基线(23/25=0.92)相比看似"下降"，但 v42 与本轮不是同一次生成——不能直接比较(见轮4b 配对对照)
5	4b_frozen_control	QVF_CARD_V5=0（旗标全关，KEYS=1+STRICT=1，与冻结生产逐字节一致），对同一 25-uid 验证子集重新建卡（全新生成，非复用 v42 旧文件）	25	0.72	0.9333	0.9438	0.9385	方法论关键发现	**同一诊断/验证子集、同一冻结提示词，仅重新生成一次**，精确匹配率从 v42 静态文件的 0.92 掉到 0.72(18/25 vs 23/25)——单纯重跑同一冻结提示词就有 20 个百分点摆动。证明 haiku 建卡存在远超预期的轮次间生成方差，此前任何"与静态 v42 比较"的轮次(轮1-3)量级均不可直接采信，只有同一会话内配对对照(旗标开 vs 旗标关，同一次生成批次)才可信
6	4c_h2_vs_matched_control	同一 25-uid 验证子集，H2(0.88=22/25) 对比 4b 同批次冻结对照(0.72=18/25)——配对比较，非对旧 v42	25	0.88 vs 0.72(配对差 +0.16)	0.9886 vs 0.9333	0.9775 vs 0.9438	0.9831 vs 0.9385	保留：H2 为本循环最终候选	配对差异逐 uid 核对：6 例失败→correct(missing_value/zero_cards/extra_value 各有)，2 例 correct→missing_value 回归；净 +4/25。两例回归均可追溯到同一根因——position/employer/team 三个相邻 slot_class 枚举值之间的分类噪声(与 H2 规则文本本身无直接因果，H1 轮也观察到同一现象)，而非 H2 证据门槛本身导致的丢真值；该 slot_class 边界噪声是 KEYS 基底提示词的既有问题，不在本轮改动范围内，留作后续独立课题
7	5a_frozen_tuning_control	QVF_CARD_V5=0（旗标全关），对轮1-3所用的 30-uid 调参子集重新建卡（全新生成），补做配对对照	30	0.4333	0.8969	0.7373	0.8093	方法论修正	**关键修正**：该 30-uid 子集是"按 v42 静态文件失败样本挑选"构成的(选择偏差)，v42 在这些精确 uid 上的分数(4/30)天然是人为压低的下限——重新生成一次(同一冻结提示词)即回归到 13/30(43.3%)，与 H1 轮的 13/30 完全打平。证明轮1"H1 相对 v42 静态基线 4→13"的表观提升几乎全部是选择偏差artifact，不能算作 H1 的真实效果
8	5b_H1_vs_matched_frozen	同一 30-uid 子集，H1(13/30) 对比 5a 配对冻结对照(13/30)——配对比较	30	13 vs 13(配对净效应 0)	—	—	—	**H1 结论下修为存疑，不建议单独采纳**	逐 uid 核对：5 例失败→correct，同时 5 例 correct→失败，配对净效应恰好为 0——H1(教育项目 slot_class 精修)本身不能证明有稳定正向效果，此前"保留"判断系与选择偏差基线比较所致的假象；该规则本身语义合理(消除了 Berkeley 类明确误分类)，但样本量下净效应不可辨识于噪声，需更大样本或独立复测才能定论
9	5c_H2_vs_matched_frozen	同一 30-uid 子集，H2(19/30) 对比 5a 配对冻结对照(13/30)——配对比较	30	19 vs 13(配对净效应 +6/30，+20pp)	0.9	0.9153	0.9076	保留：H2 双重独立配对验证均为正	逐 uid 核对：7 例失败→correct，仅 1 例 correct→失败，净 +6/30。与轮 4c(25-uid 验证集，净 +4/25，+16pp)方向和量级一致——两个独立、不重叠的配对对照(共 n=55)均稳定支持 H2 有真实正向效果，且量级相近(+16~20pp)，回归到均值/选择偏差已被控制，判定为本循环唯一确认的稳健正向候选
10	FINAL	最终候选与结算	QVF_CARD_V5=1, QVF_CARD_V5_VARIANT=h2（唯一新增契约文本：仅对 slot_class=employer/position 追加显式自证雇佣语言证据门槛）；QVF_CARD_KEYS/STRICT 沿用与 v42 相同口径不变	55(两批配对，30+25，不重叠)	配对净效应 +16~20pp(43.3→63.3 / 72→88)	—	—	—	循环结束，H2 为唯一保留候选	实际花费见下方汇总行；H1 单独未获稳健证据支持，不建议采纳；H1+H2 叠加因证据不足(轮3判定于噪声发现前，未配对复核)保持回滚状态，不建议采纳；核心开放发现：position/employer/team 三枚举值之间存在 KEYS 基底提示词固有的分类噪声，与本轮任何改动无因果关系，建议作为独立后续课题；核心方法论发现：haiku 建卡单次生成存在 ±20pp 量级的轮次间方差，此后任何契约改动评测必须使用同批配对对照(旗标开/关同时生成)，不可与历史静态卡片库比较
COST_SUMMARY	—	haiku 建卡实际花费（6 次建卡调用：h1/h2/h1h2/h2_val/frozen_val_control/frozen_tuning_control，均为 dev 内子集，未触碰 P551 held-out）	—	—	—	—	—	—	总计 $8.23（预算上限 $10）：h1=$1.14 h2=$1.45 h1h2=$1.43 h2_val=$1.20 frozen_val_control=$1.36 frozen_tuning_control=$1.63；card_quality_eval.py 本身零 LLM 成本
