file,question_id,mode,question,gold_answer,model_answer,judge_correct,judge_reason,human_verdict,notes
heldout_stale_ctx16k,e7732bdc-0bb6-4eb8-81f4-2596be7734a8_dim2_query,qvf_v4,"Since the user’s computer doesn’t have the raw processing power to handle that resolution without crashing, can you suggest a set of workflow changes (like settings adjustments or splitting the job) they should use to get the export to complete reliably on their current machine?","The user's state has been UPDATED: High-end hardware with ample CPU/GPU capacity for high-load rendering A correct response must reflect the new state (new memory: ""I finally upgraded my setup—this new workstation chews through 8K renders without breaking a sweat."") and must NOT present the old state (""I've tried running the export on my end, but my computer just doesn't have the raw processing power to handle that resolution without crashing."") as current.","The user's current setup *already* handles 8K renders reliably (per their upgrade), so the focus is on optimizing workflow stability rather than adding raw power. To ensure reliable exports:  
1. **Separate drives**: Keep project files/raw footage on one NVMe drive; cache/gallery/stills on another faster drive.  
2. **Optimize cache formats**: Use ProRes or DNxHR in Resolve (not default formats).  
3. **Increase AE disk cache**: Set high disk cache size to minimize frame cycling during long renders.  
4. **Simple backups**: Daily automatic sync of project files/media to external drive/NAS.  

These adjustments maintain stability and speed without requiring additional hardware.",True,"The response explicitly notes the user's upgraded workstation already handles 8K renders and does not treat the old underpowered computer as current, matching the updated state requirement.",,
lme_ku_ctx16k,2133c1b5_abs,qvf_v4,How long have I been living in my current apartment in Shinjuku?,The information provided is not enough. You mentioned living in Harajuku but not Shinjuku.,3 months (Harajuku) — previously 1 month,False,"The response provides a concrete duration rather than identifying that the question is unanswerable (the user lives in Harajuku, not Shinjuku).",,
lme_tr_ctx16k,bcbe585f,dense_direct,How many weeks ago did I attend a bird watching workshop at the local Audubon society?,4,4 weeks ago,True,The response matches the gold answer of 4 weeks ago.,,
memconflict_ctx16k,75b15745_s48_Q_005,dense_direct,Has the user's employment status stayed the same?,Yes — their employment status remained Employed.,"Yes, the user's employment status has remained ""Free"" (unemployed) since becoming unemployed in August 2023, with no updates indicating a change in employment status in the retrieved memories.",False,"The model states the user remained unemployed/""Free,"" contradicting the gold answer that the status remained Employed.",,
locomo_temporal_ctx16k,conv-42_q31,minimal_rules,When did Nate win his fourth video game tournament?,"The Friday before 10July, 2022.",Friday,True,"The model identifies Friday, which matches the gold answer's day (the Friday before the reference date), conveying the same temporal information.",,
memconflict_ctx16k,40f2307d_s34_Q_001,minimal_rules,Did the user's social status change recently?,Yes.,Yes,True,"The response affirms the change, matching the gold answer 'Yes.'",,
memconflict_ctx16k,cafa273c_s38_Q_004,dense_direct,When does the user prefer Hip-Hop music?,They prefer Hip-Hop while coding with a steady beat for focus or during the commute.,"The user prefers Hip-Hop music during their commute and when coding, specifically for steady-beat tracks that are energizing but not too intense for mornings.",True,"The response matches the gold answer, citing both coding with a steady beat and the commute.",,
memconflict_ctx16k,8cb3c9c6_s48_Q_001,minimal_rules,Does the user have any siblings?,"The sources conflict: some say the user does have siblings (Yes), while other records describe them as an only child. The correct value is: Yes — the user has siblings.","Yes — previously the user had two siblings, but now they have at least one brother.",True,"The model affirms that the user has siblings, matching the gold answer's correct value of ""Yes,"" despite adding some extraneous detail.",,
memconflict_ctx16k,737e8d59_s7_Q_006,minimal_rules,What changed about the user's company type?,The company type was previously unspecified and is now listed as a Small Company.,"The user's company type did not change—it remains Partnership Enterprise, a small tech company. The change was in their role (promoted to Manager), not the company type itself.",False,"The response denies any change in company type, contradicting the gold answer that it was updated to Small Company.",,
lme_ku_ctx16k,b6019101,dense_direct,How many MCU films did I watch in the last 3 months?,5,5,True,The response matches the gold answer of 5.,,
heldout_stale_ctx16k,c023a8c3-e8ce-4ce0-8524-7387277c2995_dim1_query,minimal_rules,"Based on the conversation history, does the user still have an ongoing monthly auto-loan payment that requires keeping their budget tight?","The user's state has been UPDATED: The outstanding auto loan balance has been fully paid off, leaving no remaining car-related monthly debt payment. A correct response must reflect the new state (new memory: ""I’m setting up automatic transfers into a brokerage account each month now that my only regular payments are the usual utilities and subscriptions."") and must NOT present the old state (""I'm still paying off the auto loan from when I bought my car, so I need to keep my monthly budget tight until that balance is lower."") as current.","No. The user explicitly states in the conversation that their ""only regular payments are the usual utilities and subscriptions,"" with no mention of an auto-loan payment. The assistant's advice assumes rent is gone and focuses on simplifying payments around utilities/subscriptions, confirming no ongoing auto-loan requires tight budgeting.",True,"The response correctly reflects the updated state that the auto loan is no longer an ongoing payment, citing the new memory about only utilities and subscriptions remaining.",,
locomo_temporal_ctx16k,conv-30_q16,dense_direct,When did Jon go to a fair to get more exposure for his dance studio?,"24 April, 2023","April 25, 2023",True,"The response gives April 25, 2023 versus the gold April 24, 2023 — an off-by-one day difference, which is acceptable under the temporal grading tolerance.",,
locomo_temporal_ctx16k,conv-42_q35,minimal_rules,When did Nate take time off to chill with his pets?,"The weekend of 22August, 2022.",This weekend (August 2022).,True,"The response identifies a weekend in August 2022 (""this weekend""), which corresponds to the gold answer's weekend of 22 August 2022.",,
lme_ku_ctx16k,69fee5aa,qvf_v4,How many pre-1920 American coins do I have in my collection?,38,"You have 37 pre-1920 American coins in your collection. This information comes from your own statement in the retrieved memory where you mentioned ""I have a total of 37 coins in that collection.""",False,The model gave the outdated count of 37 rather than the updated total of 38 pre-1920 American coins.,,
locomo_temporal_ctx16k,conv-41_q53,dense_direct,When did John help renovate his hometown community center?,2022,"John helped renovate his hometown community center last year, which refers to 2022 based on the session date of August 5, 2023.",True,"The response identifies 2022, matching the gold answer.",,
heldout_stale_ctx16k,19ce4134-0f92-4324-8747-e7faf009918a_dim3_query,direct,"I was gifted some premium, hand-rolled thick Tibetan temple incense. The instructions strictly state that each stick is engineered to burn continuously for exactly 15 minutes to properly release the essential oils, and manually crushing it out early completely ruins the scent profile and creates a massive ash mess. Can I easily start burning one of these during my daily morning sitting routine starting tomorrow?","The user's state has been UPDATED: Routine.meditation_mindfulness_duration has changed from 20 minutes daily to about 5 minutes daily. A correct response must reflect the new state (new memory: ""Since I started that early shift, I only have time to sit in silence for about five minutes before heading out the door."") and must NOT present the old state (""I generally spend about twenty minutes on mindfulness meditation as part of my morning routine."") as current.","I don't have information about Tibetan temple incense or its usage in morning sitting routines in the retrieved memories. The retrieved memories contain information about screen time management, morning routines, pet care, and plant care, but nothing related to incense burning practices.",False,"The response fails to address the user's current 5-minute meditation routine and instead claims no relevant information, omitting the asked information.",,
lme_tr_ctx16k,982b5123,dense_direct,How many months ago did I book the Airbnb in San Francisco?,Five months ago,"I don't have the information needed to answer how many months ago you booked the Airbnb in San Francisco. The retrieved memories mention you were in San Francisco ""exactly two months ago"" for your best friend's wedding, but don't specify when you booked the Airbnb.",False,"The gold answer is five months ago, but the model declined to provide an answer, failing to give the asked information.",,
lme_tr_ctx16k,0bc8ad93,dense_direct,I mentioned visiting a museum two months ago. Did I visit with a friend or not?,"No, you did not visit with a friend.","Yes, the user visited with a friend who is a chemistry professor.",False,"The model states the user visited with a friend, contradicting the gold answer that the user did not visit with a friend.",,
heldout_stale_ctx16k,872d8b8c-24f3-4472-a6e3-a7e42d04ff40_dim3_query,qvf_v4,I’m trying to build a quick morning reset that I can do consistently before my day kicks off. Can you design a routine that fits into my schedule and still feels effective?,"The user's state has been UPDATED: Routine.meditation_mindfulness_duration has effectively dropped to about 2 minutes (only a brief reset window is available). A correct response must reflect the new state (new memory: ""Ever since I became a parent, the only quiet time I can count on is the two minutes while the bottle warms up, so I use that tiny window to reset before the chaos starts."") and must NOT present the old state (""I make sure to spend twenty minutes on mindfulness practice every morning before I begin my first task."") as current.","Here's a 2-minute morning reset routine designed for consistency and effectiveness, directly adapted from your current needs:  

**1. Cup hands gently over eyes** (2 breaths) → *Calms nervous energy*  
**2. Let shoulders drop on exhale** → *Release tension*  
**3. Gaze softly across the room** (1 second) → *Shift focus*  
**4. One slow, full breath** (from nose to belly) → *Anchor in the present*  

**Cue to trigger it**: *""Sunrise, calm start""* (say this once before beginning).  

This fits any short morning window (like waiting for coffee or after waking up), uses your existing sensory cues, and becomes automatic with practice—no scrolling needed. The 2-minute span ensures it’s sustainable without disrupting your flow.",True,"The response designs a 2-minute reset routine fitting a brief window, reflecting the updated state and not presenting the old 20-minute practice as current.",,
